AIOE_Rank,OCC_CODE,Occupation_Title,AIOE
92,11-1011,Chief Executives,1.309
247,11-1021,General and Operations Managers,0.678
126,11-2011,Advertising and Promotions Managers,1.217
130,11-2021,Marketing Managers,1.204
96,11-2022,Sales Managers,1.294
67,11-2031,Public Relations and Fundraising Managers,1.383
228,11-3011,Administrative Services Managers,0.768
195,11-3021,Computer and Information Systems Managers,0.945
95,11-3031,Financial Managers,1.295
309,11-3051,Industrial Production Managers,0.354
64,11-3061,Purchasing Managers,1.393
205,11-3071,"Transportation, Storage, and Distribution Managers",0.905
48,11-3111,Compensation and Benefits Managers,1.467
73,11-3121,Human Resources Managers,1.359
82,11-3131,Training and Development Managers,1.337
410,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.158
259,11-9021,Construction Managers,0.636
192,11-9031,"Education Administrators, Preschool and Childcare
Center/Program",0.967
133,11-9032,"Education Administrators, Elementary and Secondary School",1.199
30,11-9033,"Education Administrators, Postsecondary",1.545
262,11-9039,"Education Administrators, All Other",0.628
257,11-9041,Architectural and Engineering Managers,0.647
358,11-9051,Food Service Managers,0.061
313,11-9061,Funeral Service Managers,0.337
238,11-9071,Gaming Managers,0.719
292,11-9081,Lodging Managers,0.464
91,11-9111,Medical and Health Services Managers,1.315
120,11-9121,Natural Sciences Managers,1.241
213,11-9131,Postmasters and Mail Superintendents,0.866
127,11-9141,"Property, Real Estate, and Community Association Managers",1.215
125,11-9151,Social and Community Service Managers,1.225
208,11-9161,Emergency Management Directors,0.901
202,11-9199,"Managers, All Other",0.910
115,13-1011,"Agents and Business Managers of Artists, Performers, and
Athletes",1.248
234,13-1021,"Buyers and Purchasing Agents, Farm Products",0.737
221,13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.791
37,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.496
156,13-1031,"Claims Adjusters, Examiners, and Investigators",1.106
268,13-1032,"Insurance Appraisers, Auto Damage",0.582
272,13-1041,Compliance Officers,0.572
149,13-1051,Cost Estimators,1.134
26,13-1071,Human Resources Specialists,1.557
459,13-1074,Farm Labor Contractors,-0.404
55,13-1075,Labor Relations Specialists,1.431
162,13-1081,Logisticians,1.081
27,13-1111,Management Analysts,1.548
284,13-1121,"Meeting, Convention, and Event Planners",0.513
62,13-1131,Fundraisers,1.405
72,13-1141,"Compensation, Benefits, and Job Analysis Specialists",1.362
89,13-1151,Training and Development Specialists,1.323
75,13-1161,Market Research Analysts and Marketing Specialists,1.356
199,13-1199,"Business Operations Specialists, All Other",0.925
128,13-2011,Accountants and Auditors,1.214
260,13-2021,Appraisers and Assessors of Real Estate,0.628
93,13-2031,Budget Analysts,1.300
160,13-2041,Credit Analysts,1.092
102,13-2051,Financial Analysts,1.273
63,13-2052,Personal Financial Advisors,1.396
104,13-2053,Insurance Underwriters,1.262
74,13-2061,Financial Examiners,1.358
76,13-2071,Credit Counselors,1.355
43,13-2072,Loan Officers,1.477
111,13-2081,"Tax Examiners and Collectors, and Revenue Agents",1.253
146,13-2082,Tax Preparers,1.144
113,13-2099,"Financial Specialists, All Other",1.253
191,15-1111,Computer and Information Research Scientists,0.968
168,15-1121,Computer Systems Analysts,1.046
169,15-1122,Information Security Analysts,1.045
180,15-1131,Computer Programmers,1.025
211,15-1132,"Software Developers, Applications",0.882
141,15-1133,"Software Developers, Systems Software",1.166
