OCC_CODE,OCC_TITLE,tot_emp_per_year,a_mean_per_year,group,year
00-0000,All Occupations,130647610,         43460,total,2009
11-0000,Management occupations,6116380,        102900,major,2009
11-1011,Chief executives,297640,        167280,,2009
11-1021,General and operations managers,1689680,        110550,,2009
11-1031,Legislators,65750,         37530,,2009
11-2011,Advertising and promotions managers,35760,         97670,,2009
11-2021,Marketing managers,169330,        120070,,2009
11-2022,Sales managers,328980,        111570,,2009
11-2031,Public relations managers,53270,        101850,,2009
11-3011,Administrative services managers,243580,         81530,,2009
11-3021,Computer and information systems managers,287210,        120640,,2009
11-3031,Financial managers,495180,        113730,,2009
11-3041,Compensation and benefits managers,35630,         95230,,2009
11-3042,Training and development managers,29320,         94360,,2009
11-3049,"Human resources managers, all other",62990,        105510,,2009
11-3051,Industrial production managers,147250,         93650,,2009
11-3061,Purchasing managers,65080,         96910,,2009
11-3071,"Transportation, storage, and distribution managers",92380,         85470,,2009
11-9011,"Farm, ranch, and other agricultural managers",3250,         64760,,2009
11-9012,Farmers and ranchers,520,         42710,,2009
11-9021,Construction managers,204760,         93290,,2009
11-9031,"Education administrators, preschool and child care center/program",51140,         48170,,2009
11-9032,"Education administrators, elementary and secondary school",219280,         87390,,2009
11-9033,"Education administrators, postsecondary",105900,         95340,,2009
11-9039,"Education administrators, all other",28710,         80140,,2009
11-9041,Engineering managers,178110,        122810,,2009
11-9051,Food service managers,190250,         51400,,2009
11-9061,Funeral directors,25820,         60390,,2009
11-9071,Gaming managers,3390,         74030,,2009
11-9081,Lodging managers,31660,         53500,,2009
11-9111,Medical and health services managers,271710,         90970,,2009
11-9121,Natural sciences managers,44180,        127000,,2009
11-9131,Postmasters and mail superintendents,24890,         59600,,2009
11-9141,"Property, real estate, and community association managers",150850,         58660,,2009
11-9151,Social and community service managers,113760,         61240,,2009
11-9199,"Managers, all other",369170,         99100,,2009
13-0000,Business and financial operations occupations,6063670,         65900,major,2009
13-1011,"Agents and business managers of artists, performers, and athletes",11700,         87430,,2009
13-1021,"Purchasing agents and buyers, farm products",11690,         62450,,2009
13-1022,"Wholesale and retail buyers, except farm products",116900,         55480,,2009
13-1023,"Purchasing agents, except wholesale, retail, and farm products",281910,         58550,,2009
13-1031,"Claims adjusters, examiners, and investigators",273930,         58780,,2009
13-1032,"Insurance appraisers, auto damage",10960,         56180,,2009
13-1041,"Compliance officers, except agriculture, construction, health and safety, and transportation",247900,         55100,,2009
13-1051,Cost estimators,197330,         61190,,2009
13-1061,Emergency management specialists,13060,         56900,,2009
13-1071,"Employment, recruitment, and placement specialists",198190,         54530,,2009
13-1072,"Compensation, benefits, and job analysis specialists",111890,         58520,,2009
13-1073,Training and development specialists,205020,         55310,,2009
13-1079,"Human resources, training, and labor relations specialists, all other",219240,         59070,,2009
13-1081,Logisticians,100420,         70400,,2009
13-1111,Management analysts,552770,         84650,,2009
13-1121,Meeting and convention planners,51530,         48060,,2009
13-1199,"Business operations specialists, all other",1036450,         65960,,2009
13-2011,Accountants and auditors,1106980,         67430,,2009
13-2021,Appraisers and assessors of real estate,64770,         53520,,2009
13-2031,Budget analysts,60970,         69240,,2009
13-2041,Credit analysts,67950,         67230,,2009
13-2051,Financial analysts,235240,         85240,,2009
13-2052,Personal financial advisors,149460,         94180,,2009
13-2053,Insurance underwriters,98430,         63330,,2009
13-2061,Financial examiners,26050,         79070,,2009
13-2071,Loan counselors,30360,         40930,,2009
13-2072,Loan officers,298200,         63210,,2009
13-2081,"Tax examiners, collectors, and revenue agents",69500,         53800,,2009
13-2082,Tax preparers,61130,         36060,,2009
13-2099,"Financial specialists, all other",153720,         64810,,2009
15-0000,Computer and mathematical science occupations,3303690,         76290,major,2009
15-1011,"Computer and information scientists, research",26130,        105370,,2009
15-1021,Computer programmers,367880,         74690,,2009
15-1031,"Computer software engineers, applications",495500,         90170,,2009
15-1032,"Computer software engineers, systems software",385200,         96620,,2009
15-1041,Computer support specialists,540560,         47360,,2009
15-1051,Computer systems analysts,512720,         80430,,2009
15-1061,Database administrators,108080,         74290,,2009
15-1071,Network and computer systems administrators,338890,         70930,,2009
15-1081,Network systems and data communications analysts,226080,         76560,,2009
15-1099,"Computer specialists, all other",195890,         78010,,2009
15-2011,Actuaries,17940,         97450,,2009
15-2021,Mathematicians,2770,         93920,,2009
15-2031,Operations research analysts,60960,         75370,,2009
15-2041,Statisticians,21370,         75220,,2009
15-2091,Mathematical technicians,1090,         44230,,2009
15-2099,"Mathematical scientists, all other",2610,         61850,,2009
17-0000,Architecture and engineering occupations,2412730,         73590,major,2009
17-1011,"Architects, except landscape and naval",101630,         78880,,2009
17-1012,Landscape architects,18940,         65910,,2009
17-1021,Cartographers and photogrammetrists,11750,         59340,,2009
17-1022,Surveyors,50360,         57420,,2009
17-2011,Aerospace engineers,70570,         96270,,2009
17-2021,Agricultural engineers,2620,         74640,,2009
17-2031,Biomedical engineers,14760,         82550,,2009
17-2041,Chemical engineers,29000,         91670,,2009
17-2051,Civil engineers,259320,         81180,,2009
17-2061,Computer hardware engineers,65410,        101410,,2009
17-2071,Electrical engineers,151660,         86250,,2009
17-2072,"Electronics engineers, except computer",135990,         91540,,2009
17-2081,Environmental engineers,50610,         80750,,2009
17-2111,"Health and safety engineers, except mining safety engineers and inspectors",24070,         75810,,2009
17-2112,Industrial engineers,209300,         77090,,2009
17-2121,Marine engineers and naval architects,5270,         79240,,2009
17-2131,Materials engineers,22510,         85660,,2009
17-2141,Mechanical engineers,232660,         80580,,2009
17-2151,"Mining and geological engineers, including mining safety engineers",6310,         82080,,2009
17-2161,Nuclear engineers,16710,        100350,,2009
17-2171,Petroleum engineers,25540,        119960,,2009
17-2199,"Engineers, all other",159680,         90600,,2009
17-3011,Architectural and civil drafters,105320,         47710,,2009
17-3012,Electrical and electronics drafters,30590,         54800,,2009
17-3013,Mechanical drafters,71890,         49790,,2009
17-3019,"Drafters, all other",18290,         48210,,2009
17-3021,Aerospace engineering and operations technicians,7940,         59820,,2009
17-3022,Civil engineering technicians,82690,         47420,,2009
17-3023,Electrical and electronic engineering technicians,154050,         55410,,2009
17-3024,Electro-mechanical technicians,15640,         49880,,2009
17-3025,Environmental engineering technicians,20630,         45730,,2009
17-3026,Industrial engineering technicians,65460,         49030,,2009
17-3027,Mechanical engineering technicians,43580,         50700,,2009
17-3029,"Engineering technicians, except drafters, all other",69070,         58330,,2009
17-3031,Surveying and mapping technicians,62940,         39470,,2009
19-0000,"Life, physical, and social science occupations",1308380,         65660,major,2009
19-1011,Animal scientists,2190,         64510,,2009
19-1012,Food scientists and technologists,10790,         64370,,2009
19-1013,Soil and plant scientists,11830,         65180,,2009
19-1021,Biochemists and biophysicists,22860,         88550,,2009
19-1022,Microbiologists,16260,         71980,,2009
19-1023,Zoologists and wildlife biologists,17460,         60670,,2009
19-1029,"Biological scientists, all other",29630,         69430,,2009
19-1031,Conservation scientists,16810,         61180,,2009
19-1032,Foresters,10230,         55220,,2009
19-1041,Epidemiologists,4610,         64950,,2009
19-1042,"Medical scientists, except epidemiologists",101760,         84760,,2009
19-1099,"Life scientists, all other",12320,         72590,,2009
19-2011,Astronomers,1240,        102740,,2009
19-2012,Physicists,13630,        111250,,2009
19-2021,Atmospheric and space scientists,8320,         85160,,2009
19-2031,Chemists,79910,         72740,,2009
19-2032,Materials scientists,8880,         82350,,2009
19-2041,"Environmental scientists and specialists, including health",83530,         67360,,2009
19-2042,"Geoscientists, except hydrologists and geographers",31860,         92710,,2009
19-2043,Hydrologists,7150,         76760,,2009
19-2099,"Physical scientists, all other",25310,         94880,,2009
19-3011,Economists,13160,         96320,,2009
19-3021,Market research analysts,226410,         67500,,2009
19-3022,Survey researchers,20300,         42330,,2009
19-3031,"Clinical, counseling, and school psychologists",98330,         72310,,2009
19-3032,Industrial-organizational psychologists,1710,        102570,,2009
19-3039,"Psychologists, all other",10260,         84220,,2009
19-3041,Sociologists,4430,         76190,,2009
19-3051,Urban and regional planners,38950,         64680,,2009
19-3091,Anthropologists and archeologists,5570,         57230,,2009
19-3092,Geographers,1170,         71420,,2009
19-3093,Historians,3620,         56350,,2009
19-3094,Political scientists,3970,        101050,,2009
19-3099,"Social scientists and related workers, all other",29250,         73450,,2009
19-4011,Agricultural and food science technicians,18490,         36850,,2009
19-4021,Biological technicians,74560,         41140,,2009
19-4031,Chemical technicians,64420,         43900,,2009
19-4041,Geological and petroleum technicians,14460,         58400,,2009
19-4051,Nuclear technicians,6290,         66700,,2009
19-4061,Social science research assistants,21720,         40340,,2009
19-4091,"Environmental science and protection technicians, including health",30870,         43520,,2009
19-4092,Forensic science technicians,12870,         55070,,2009
19-4093,Forest and conservation technicians,31440,         36370,,2009
19-4099,"Life, physical, and social science technicians, all other",59530,         44870,,2009
21-0000,Community and social services occupations,1891320,         42750,major,2009
21-1011,Substance abuse and behavioral disorder counselors,78470,         40420,,2009
21-1012,"Educational, vocational, and school counselors",251050,         55030,,2009
21-1013,Marriage and family therapists,26450,         49020,,2009
21-1014,Mental health counselors,106920,         41710,,2009
21-1015,Rehabilitation counselors,112690,         34710,,2009
21-1019,"Counselors, all other",30900,         44400,,2009
21-1021,"Child, family, and school social workers",277670,         43540,,2009
21-1022,Medical and public health social workers,133510,         48340,,2009
21-1023,Mental health and substance abuse social workers,127140,         41350,,2009
21-1029,"Social workers, all other",73250,         50470,,2009
21-1091,Health educators,63320,         49060,,2009
21-1092,Probation officers and correctional treatment specialists,92910,         50500,,2009
21-1093,Social and human service assistants,344050,         29880,,2009
21-1099,"Community and social service specialists, all other",109120,         40530,,2009
21-2011,Clergy,42670,         46960,,2009
21-2021,"Directors, religious activities and education",15060,         40770,,2009
21-2099,"Religious workers, all other",6140,         33160,,2009
23-0000,Legal occupations,999020,         95820,major,2009
23-1011,Lawyers,556790,        129020,,2009
23-1021,"Administrative law judges, adjudicators, and hearing officers",13140,         87620,,2009
23-1022,"Arbitrators, mediators, and conciliators",8110,         63250,,2009
23-1023,"Judges, magistrate judges, and magistrates",26350,        103990,,2009
23-2011,Paralegals and legal assistants,246810,         50080,,2009
23-2091,Court reporters,18780,         52460,,2009
23-2092,Law clerks,32630,         41960,,2009
23-2093,"Title examiners, abstractors, and searchers",56820,         42960,,2009
23-2099,"Legal support workers, all other",39590,         58630,,2009
25-0000,"Education, training, and library occupations",8488740,         49530,major,2009
25-1011,"Business teachers, postsecondary",73790,         83840,,2009
25-1021,"Computer science teachers, postsecondary",32240,         75860,,2009
25-1022,"Mathematical science teachers, postsecondary",48100,         70550,,2009
25-1031,"Architecture teachers, postsecondary",7090,         77830,,2009
25-1032,"Engineering teachers, postsecondary",34270,         92970,,2009
25-1041,"Agricultural sciences teachers, postsecondary",10230,         80790,,2009
25-1042,"Biological science teachers, postsecondary",54810,         87220,,2009
25-1043,"Forestry and conservation science teachers, postsecondary",2380,         72290,,2009
25-1051,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",9900,         83320,,2009
25-1052,"Chemistry teachers, postsecondary",20370,         77350,,2009
25-1053,"Environmental science teachers, postsecondary",4820,         73700,,2009
25-1054,"Physics teachers, postsecondary",12870,         83320,,2009
25-1061,"Anthropology and archeology teachers, postsecondary",5880,         75530,,2009
25-1062,"Area, ethnic, and cultural studies teachers, postsecondary",8070,         75130,,2009
25-1063,"Economics teachers, postsecondary",12860,         89320,,2009
25-1064,"Geography teachers, postsecondary",3930,         69840,,2009
25-1065,"Political science teachers, postsecondary",15180,         76990,,2009
25-1066,"Psychology teachers, postsecondary",33450,         72140,,2009
25-1067,"Sociology teachers, postsecondary",16380,         71970,,2009
25-1069,"Social sciences teachers, postsecondary, all other",5830,         77040,,2009
25-1071,"Health specialties teachers, postsecondary",133070,        103340,,2009
25-1072,"Nursing instructors and teachers, postsecondary",49140,         65240,,2009
25-1081,"Education teachers, postsecondary",56880,         62160,,2009
25-1082,"Library science teachers, postsecondary",3940,         64270,,2009
25-1111,"Criminal justice and law enforcement teachers, postsecondary",12610,         62750,,2009
25-1112,"Law teachers, postsecondary",12690,        109150,,2009
25-1113,"Social work teachers, postsecondary",8290,         67410,,2009
25-1121,"Art, drama, and music teachers, postsecondary",80790,         68230,,2009
25-1122,"Communications teachers, postsecondary",25090,         65190,,2009
25-1123,"English language and literature teachers, postsecondary",65490,         65860,,2009
25-1124,"Foreign language and literature teachers, postsecondary",27020,         63300,,2009
25-1125,"History teachers, postsecondary",21810,         69280,,2009
25-1126,"Philosophy and religion teachers, postsecondary",19630,         67610,,2009
